x, y
2, 0.6968641114982579
3.010452961672474, 5.023230575933689
3.881533101045296, 7.810687021926721
4.508710801393728, 15.824624304156687
4.961672473867596, 23.838561586386653
5.344947735191638, 33.246227091613136
5.7282229965156795, 43.699188764087005
6.041811846689895, 53.803718380811745
6.285714285714286, 63.21138388603822
6.45993031358885, 72.61904939126471
6.70383275261324, 82.02671489649119
6.912891986062718, 88.2984918999755
7.2264808362369335, 91.43438040171766
7.609756097560975, 90.38908423447027
7.888501742160279, 86.20789956548073
8.16724738675958, 80.28455461774554
8.445993031358885, 72.27061733551558
8.655052264808361, 64.60511210903474
9.00348432055749, 52.061558102066094
9.247386759581882, 42.30546054109049
9.560975609756097, 31.15563475711836
9.874564459930312, 21.747969251891877
10.397212543554007, 12.340303746665397
11.094076655052264, 5.371662631682819
12, 1.3937282229965158